#	00			01			10			11			
79	2.73e-08 	2.46e-17 	8.87e-08 	1.67e-05 	
80	2.54e-08 	2.27e-17 	8.90e-08 	1.60e-05 	
81	2.37e-08 	2.08e-17 	8.93e-08 	1.53e-05 	
82	2.20e-08 	1.92e-17 	8.96e-08 	1.46e-05 	
83	2.05e-08 	1.76e-17 	8.99e-08 	1.40e-05 	
84	1.91e-08 	1.62e-17 	9.01e-08 	1.34e-05 	
85	1.77e-08 	1.49e-17 	9.04e-08 	1.29e-05 	
86	1.65e-08 	1.38e-17 	9.06e-08 	1.23e-05 	
87	1.54e-08 	1.27e-17 	9.09e-08 	1.18e-05 	
88	1.43e-08 	1.17e-17 	9.11e-08 	1.13e-05 	
89	1.34e-08 	1.07e-17 	9.13e-08 	1.08e-05 	
90	1.25e-08 	9.90e-18 	9.16e-08 	1.04e-05 	
91	1.16e-08 	9.12e-18 	9.18e-08 	9.97e-06 	
92	1.08e-08 	8.41e-18 	9.20e-08 	9.56e-06 	
93	1.01e-08 	7.75e-18 	9.21e-08 	9.17e-06 	
94	9.42e-09 	7.14e-18 	9.23e-08 	8.80e-06 	
95	8.79e-09 	6.58e-18 	9.25e-08 	8.44e-06 	
96	8.21e-09 	6.07e-18 	9.27e-08 	8.09e-06 	
97	7.66e-09 	5.60e-18 	9.28e-08 	7.77e-06 	
98	7.15e-09 	5.17e-18 	9.30e-08 	7.45e-06 	
99	6.68e-09 	4.77e-18 	9.31e-08 	7.15e-06 	
100	6.24e-09 	4.40e-18 	9.32e-08 	6.87e-06 	
101	5.83e-09 	4.06e-18 	9.34e-08 	6.59e-06 	
102	5.45e-09 	3.75e-18 	9.35e-08 	6.33e-06 	
103	5.09e-09 	3.46e-18 	9.36e-08 	6.08e-06 	
104	4.76e-09 	3.19e-18 	9.37e-08 	5.84e-06 	
105	4.45e-09 	2.95e-18 	9.38e-08 	5.61e-06 	
106	4.16e-09 	2.72e-18 	9.39e-08 	5.39e-06 	
107	3.89e-09 	2.52e-18 	9.40e-08 	5.17e-06 	
108	3.64e-09 	2.33e-18 	9.41e-08 	4.97e-06 	
109	3.41e-09 	2.15e-18 	9.42e-08 	4.78e-06 	
110	3.19e-09 	1.99e-18 	9.43e-08 	4.59e-06 	
111	2.99e-09 	1.84e-18 	9.44e-08 	4.41e-06 	
112	2.79e-09 	1.70e-18 	9.44e-08 	4.24e-06 	
113	2.62e-09 	1.57e-18 	9.45e-08 	4.08e-06 	
114	2.45e-09 	1.45e-18 	9.46e-08 	3.92e-06 	
115	2.30e-09 	1.34e-18 	9.46e-08 	3.77e-06 	
116	2.15e-09 	1.24e-18 	9.47e-08 	3.62e-06 	
117	2.02e-09 	1.15e-18 	9.47e-08 	3.49e-06 	
118	1.89e-09 	1.07e-18 	9.47e-08 	3.35e-06 	
119	1.77e-09 	9.86e-19 	9.48e-08 	3.23e-06 	
120	1.66e-09 	9.13e-19 	9.48e-08 	3.10e-06 	
121	1.56e-09 	8.45e-19 	9.48e-08 	2.99e-06 	
122	1.46e-09 	7.83e-19 	9.48e-08 	2.87e-06 	
123	1.37e-09 	7.25e-19 	9.48e-08 	2.77e-06 	
124	1.29e-09 	6.72e-19 	9.48e-08 	2.66e-06 	
125	1.21e-09 	6.22e-19 	9.48e-08 	2.56e-06 	
126	1.13e-09 	5.77e-19 	9.48e-08 	2.47e-06 	
127	1.06e-09 	5.35e-19 	9.48e-08 	2.37e-06 	
128	9.98e-10 	4.96e-19 	9.48e-08 	2.29e-06 	
129	9.37e-10 	4.59e-19 	9.48e-08 	2.20e-06 	
130	8.80e-10 	4.26e-19 	9.48e-08 	2.12e-06 	
131	8.27e-10 	3.95e-19 	9.48e-08 	2.04e-06 	
132	7.77e-10 	3.67e-19 	9.47e-08 	1.97e-06 	
133	7.30e-10 	3.40e-19 	9.47e-08 	1.89e-06 	
134	6.86e-10 	3.16e-19 	9.47e-08 	1.83e-06 	
135	6.45e-10 	2.93e-19 	9.46e-08 	1.76e-06 	
136	6.06e-10 	2.72e-19 	9.46e-08 	1.70e-06 	
137	5.70e-10 	2.52e-19 	9.45e-08 	1.63e-06 	
138	5.36e-10 	2.34e-19 	9.45e-08 	1.57e-06 	
139	5.04e-10 	2.17e-19 	9.44e-08 	1.52e-06 	
140	4.74e-10 	2.02e-19 	9.44e-08 	1.46e-06 	
141	4.46e-10 	1.88e-19 	9.43e-08 	1.41e-06 	
142	4.20e-10 	1.74e-19 	9.43e-08 	1.36e-06 	
143	3.95e-10 	1.62e-19 	9.42e-08 	1.31e-06 	
144	3.72e-10 	1.50e-19 	9.41e-08 	1.26e-06 	
145	3.50e-10 	1.40e-19 	9.40e-08 	1.22e-06 	
146	3.30e-10 	1.30e-19 	9.40e-08 	1.18e-06 	
147	3.10e-10 	1.21e-19 	9.39e-08 	1.13e-06 	
148	2.92e-10 	1.12e-19 	9.38e-08 	1.09e-06 	
149	2.75e-10 	1.04e-19 	9.37e-08 	1.06e-06 	
150	2.59e-10 	9.71e-20 	9.36e-08 	1.02e-06 	
151	2.44e-10 	9.03e-20 	9.35e-08 	9.83e-07 	
152	2.30e-10 	8.41e-20 	9.34e-08 	9.48e-07 	
153	2.17e-10 	7.82e-20 	9.33e-08 	9.15e-07 	
154	2.05e-10 	7.28e-20 	9.32e-08 	8.83e-07 	
155	1.93e-10 	6.77e-20 	9.31e-08 	8.53e-07 	
156	1.82e-10 	6.30e-20 	9.30e-08 	8.23e-07 	
157	1.72e-10 	5.87e-20 	9.29e-08 	7.95e-07 	
158	1.62e-10 	5.46e-20 	9.28e-08 	7.67e-07 	
159	1.53e-10 	5.09e-20 	9.27e-08 	7.41e-07 	
160	1.44e-10 	4.74e-20 	9.26e-08 	7.15e-07 	
161	1.36e-10 	4.41e-20 	9.25e-08 	6.91e-07 	
162	1.28e-10 	4.11e-20 	9.24e-08 	6.67e-07 	
163	1.21e-10 	3.83e-20 	9.22e-08 	6.44e-07 	
164	1.14e-10 	3.57e-20 	9.21e-08 	6.23e-07 	
165	1.08e-10 	3.33e-20 	9.20e-08 	6.01e-07 	
166	1.02e-10 	3.10e-20 	9.18e-08 	5.81e-07 	
