#	00		01		10		11		
0	-3.069207e+01	-1.426411e+02	-5.725379e+01	-4.717124e+01	
1	-3.092913e+01	-1.430614e+02	-5.720026e+01	-4.756487e+01	
2	-3.116637e+01	-1.434862e+02	-5.715183e+01	-4.795864e+01	
3	-3.140355e+01	-1.439154e+02	-5.710823e+01	-4.835251e+01	
4	-3.164052e+01	-1.443491e+02	-5.706907e+01	-4.874640e+01	
5	-3.187725e+01	-1.447869e+02	-5.703395e+01	-4.914025e+01	
6	-3.211381e+01	-1.452286e+02	-5.700242e+01	-4.953398e+01	
7	-3.235030e+01	-1.456736e+02	-5.697404e+01	-4.992751e+01	
8	-3.258673e+01	-1.461213e+02	-5.694835e+01	-5.032076e+01	
9	-3.282304e+01	-1.465711e+02	-5.692496e+01	-5.071367e+01	
10	-3.305907e+01	-1.470222e+02	-5.690352e+01	-5.110617e+01	
11	-3.329470e+01	-1.474740e+02	-5.688373e+01	-5.149818e+01	
12	-3.352988e+01	-1.479261e+02	-5.686538e+01	-5.188964e+01	
13	-3.376461e+01	-1.483783e+02	-5.684830e+01	-5.228049e+01	
14	-3.399894e+01	-1.488308e+02	-5.683240e+01	-5.267067e+01	
15	-3.423289e+01	-1.492834e+02	-5.681767e+01	-5.306012e+01	
16	-3.446643e+01	-1.497364e+02	-5.680412e+01	-5.344880e+01	
17	-3.469949e+01	-1.501899e+02	-5.679182e+01	-5.383665e+01	
18	-3.493197e+01	-1.506439e+02	-5.678085e+01	-5.422363e+01	
19	-3.516384e+01	-1.510984e+02	-5.677131e+01	-5.460971e+01	
20	-3.539508e+01	-1.515534e+02	-5.676329e+01	-5.499483e+01	
21	-3.562572e+01	-1.520087e+02	-5.675687e+01	-5.537897e+01	
22	-3.585576e+01	-1.524643e+02	-5.675210e+01	-5.576209e+01	
23	-3.608522e+01	-1.529201e+02	-5.674899e+01	-5.614417e+01	
24	-3.631405e+01	-1.533761e+02	-5.674754e+01	-5.652517e+01	
25	-3.654220e+01	-1.538322e+02	-5.674769e+01	-5.690508e+01	
26	-3.676964e+01	-1.542884e+02	-5.674935e+01	-5.728386e+01	
27	-3.699636e+01	-1.547447e+02	-5.675241e+01	-5.766151e+01	
28	-3.722237e+01	-1.552010e+02	-5.675674e+01	-5.803800e+01	
29	-3.744767e+01	-1.556572e+02	-5.676219e+01	-5.841331e+01	
30	-3.767229e+01	-1.561130e+02	-5.676861e+01	-5.878744e+01	
31	-3.789619e+01	-1.565682e+02	-5.677584e+01	-5.916037e+01	
32	-3.811937e+01	-1.570226e+02	-5.678375e+01	-5.953208e+01	
33	-3.834180e+01	-1.574761e+02	-5.679223e+01	-5.990258e+01	
34	-3.856347e+01	-1.579284e+02	-5.680118e+01	-6.027184e+01	
35	-3.878437e+01	-1.583796e+02	-5.681055e+01	-6.063987e+01	
36	-3.900453e+01	-1.588295e+02	-5.682029e+01	-6.100666e+01	
37	-3.922395e+01	-1.592783e+02	-5.683039e+01	-6.137221e+01	
38	-3.944263e+01	-1.597260e+02	-5.684086e+01	-6.173650e+01	
39	-3.966056e+01	-1.601726e+02	-5.685174e+01	-6.209954e+01	
40	-3.987774e+01	-1.606183e+02	-5.686308e+01	-6.246133e+01	
41	-4.009414e+01	-1.610630e+02	-5.687492e+01	-6.282186e+01	
42	-4.030978e+01	-1.615068e+02	-5.688732e+01	-6.318114e+01	
43	-4.052466e+01	-1.619497e+02	-5.690033e+01	-6.353917e+01	
44	-4.073880e+01	-1.623918e+02	-5.691398e+01	-6.389594e+01	
45	-4.095218e+01	-1.628329e+02	-5.692831e+01	-6.425147e+01	
46	-4.116483e+01	-1.632732e+02	-5.694332e+01	-6.460574e+01	
47	-4.137672e+01	-1.637125e+02	-5.695902e+01	-6.495877e+01	
48	-4.158787e+01	-1.641511e+02	-5.697536e+01	-6.531056e+01	
49	-4.179826e+01	-1.645887e+02	-5.699232e+01	-6.566111e+01	
50	-4.200790e+01	-1.650255e+02	-5.700984e+01	-6.601043e+01	
51	-4.221681e+01	-1.654613e+02	-5.702786e+01	-6.635852e+01	
52	-4.242498e+01	-1.658962e+02	-5.704631e+01	-6.670538e+01	
